ticker,event_date,capm_alpha,capm_beta,capm_car_1,capm_car_5,capm_car_30,capm_car_60
ATI,2019-08-15,-0.00018947486598482744,1.467489163560386,-0.019220584999745535,0.00912832767575909,0.11208580406595774,0.20732993964123542
ATNI,2023-11-22,-0.001482233296080656,0.40130420929484933,0.015700532477127528,-0.007015001707052777,0.2632811669534754,0.21816356370518208
ATRO,2022-09-19,-0.00046190235755725484,0.8349684084084298,0.048555721437219625,0.04722949964997085,0.12177334338978474,0.2692402551817298
AUB,2022-11-15,0.0003993854218740962,0.7576984226069473,-0.005741501945973656,0.014617307011593087,0.03062837667969534,0.06792147349795113
AUPH,2021-05-13,-0.0017506853708191762,0.7085632186585398,0.042471367754334244,0.12687141398390495,0.27077435792305526,0.46172098261405575
AVAH,2021-12-17,,,,,,
AVBP,2024-02-01,,,,,,
AVDL,2017-09-25,-0.002212190843904676,0.8470469008218826,0.009102301668286473,0.11568305501836595,0.04987384777677516,-0.05576920635201055
AVDL,2018-06-27,-0.0018681327912395444,0.522923801992714,-0.01459643720540068,0.023234567167379885,-0.1345013561386729,-0.23072659751343585
AVDL,2019-12-05,0.004039198863463779,0.4936985949001085,0.05324744377747275,0.19002885644587625,0.21386922026990648,0.39813581147166577
AVDL,2020-09-01,0.007841993466740842,0.8038746721026426,-0.07690331663083418,-0.2441905554135114,-0.5228343599541602,-0.44480312069398636
AVDL,2023-08-14,0.00480647330576758,1.386761599525633,-0.0559707573888363,-0.07602304927915324,-0.3461218829625988,-0.5793023693060537
AVDL,2024-12-16,0.0005954501390813028,0.20942094699907784,0.03245240529936409,-0.02267526965074512,,
AVIR,2020-11-04,,,,,,
AVNS,2018-11-29,0.0009530112464239671,0.7971527913590704,0.0378474038885481,0.035518425780898956,-0.02547708733252595,-0.032047948190217446
AVNW,2024-12-02,-0.0018623559585565956,0.7784842611954801,0.06221350446357817,0.12313515165993616,,
AVO,2020-10-16,,,,,,
AVTR,2021-05-07,0.001064160055243738,0.9753857183731262,-0.016824010651868955,0.019248828514964653,0.08170609546858665,0.08467064145321133
