ticker,company_name,event_date,cluster_start,cluster_end,n_unique_insiders,n_transactions,insider_names,total_value,avg_price,first_trade_date,last_trade_date,first_filing_date,last_filing_date
LCNB,Lcnb Corp,2023-06-01 09:44:42,2023-05-23,2023-05-31,7,8,Foster Steve P; Johnson Craig Millis; Krehbiel Anne E; Lawson Takeitha W; Meilstrup Eric J; Miller Michael Robert; Mulligan Lawrence P Jr.,69351,14.53125,2023-05-23,2023-05-31,2023-05-25 08:48:02,2023-06-01 09:44:42
DCOM,"Dime Community Bancshares, Inc. /ny/",2023-06-01 12:12:01,2023-05-17,2023-05-31,4,7,Aguggia Paul M; Chen Rosemarie; Mahon Kenneth J; McCoy Jr. Albert E,497723,16.845714285714287,2023-05-17,2023-05-31,2023-05-18 12:47:08,2023-06-01 12:12:01
CVCY,Central Valley Community Bancorp,2023-06-01 12:46:29,2023-06-01,2023-06-01,3,3,Cagle Dawn M; Kim James J; Martin Jeffrey Michael,6221,12.99,2023-06-01,2023-06-01,2023-06-01 12:44:32,2023-06-01 12:46:29
TCBX,"Third Coast Bancshares, Inc.",2023-06-01 15:00:06,2023-05-01,2023-05-30,6,8,Alexander Vicki; Bobbora William; Bonnen Dennis; Deckert Michael; Duncan Audrey; McWhorter Richard J,619369,14.245000000000001,2023-05-01,2023-05-30,2023-05-02 14:05:21,2023-06-01 15:00:06
JUVF,Juniata Valley Financial Corp,2023-06-01 15:07:21,2023-05-02,2023-06-01,3,9,Barber Marcie A; Havice Timothy I; Wolf Michael W.,86248,14.956666666666665,2023-05-02,2023-06-01,2023-05-04 10:17:07,2023-06-01 15:07:21
BOC,Boston Omaha Corp,2023-06-01 16:02:35,2023-05-16,2023-05-31,3,3,Keating Brendan Joseph; Royal Jeffrey C; Weisenburger Joshua Paul,262694,19.14333333333333,2023-05-16,2023-05-31,2023-05-18 16:03:14,2023-06-01 16:02:35
EP,Empire Petroleum Corp,2023-06-01 19:13:37,2023-05-30,2023-05-31,3,3,Matschke Mason H.; Mulacek Phil E; Vann J Kevin,263012,9.026666666666667,2023-05-30,2023-05-31,2023-06-01 18:12:34,2023-06-01 19:13:37
BWFG,"Bankwell Financial Group, Inc.",2023-06-02 08:17:31,2023-05-01,2023-05-31,6,14,Dale Eric J; Drexler Blake S; Garnett James M Jr; Gruseke Christopher R; Porto Carl M; Seidman Lawrence B,164392,23.354999999999993,2023-05-01,2023-05-31,2023-05-03 15:38:46,2023-06-02 08:17:31
PBHC,"Pathfinder Bancorp, Inc.",2023-06-02 08:18:37,2023-05-04,2023-05-30,3,10,Dowd James A.; Joyce George P; Rusnak Walter,122851,12.742,2023-05-04,2023-05-30,2023-05-05 15:45:36,2023-06-02 08:18:37
ZD,"Ziff Davis, Inc.",2023-06-02 08:29:15,2023-05-12,2023-05-31,4,4,Fay Sarah Ann; Richter Bret; Rossen Jeremy; Shah Vivek,814850,60.0625,2023-05-12,2023-05-31,2023-05-15 08:10:39,2023-06-02 08:29:15
ATLO,Ames National Corp,2023-06-02 14:58:01,2023-04-25,2023-05-24,12,18,Baker Jeffery C; Bauer Scott T; Cassabaum Michelle R; Eslinger Lisa M; Forth Steven D; Hagan Patrick G; Johnson Dan E; Larson James R II; Nelson John Patrick; Pierschbacher John L; Thomas Robert A; Wilson Michael A,108840,18.188333333333333,2023-04-25,2023-05-24,2023-04-26 10:24:23,2023-06-02 14:58:01
RGCO,Rgc Resources Inc,2023-06-02 15:23:49,2023-05-09,2023-06-01,5,6,Field Jason A.; Miles Christen Brooke; Nester Paul W; Oliver Lawrence T.; Williamson John B III,37525,19.561666666666664,2023-05-09,2023-06-01,2023-05-10 11:13:15,2023-06-02 15:23:49
BFST,"Business First Bancshares, Inc.",2023-06-02 16:05:47,2023-05-02,2023-05-31,12,13,Calkins Carol; Day Rick D.; Ducrest John P.; Johnson Joseph Vernon; Manning Kathryn; Mansfield Keith; McCollister Rolfe H. Jr.; McLindon Andrew D.; Price Arthur; Robertson Greg; Smith Kenneth W.; White Steven Gerard,688884,14.323846153846151,2023-05-02,2023-05-31,2023-05-05 16:46:59,2023-06-02 16:05:47
APLE,"Apple Hospitality Reit, Inc.",2023-06-02 16:43:45,2023-05-05,2023-05-31,4,4,Gathright Kristian M; Hugh Redd; Knight Glade M; Rash Matthew,102967,14.9525,2023-05-05,2023-05-31,2023-05-09 16:21:18,2023-06-02 16:43:45
ISBA,Isabella Bank Corp,2023-06-05 14:25:37,2023-05-05,2023-06-01,6,8,Bourland Jill; Catlin Jon D; Opperman Sarah R; Payton Chad R; Schwind Jerome E; Wheeler Peggy,54587,20.21375,2023-05-05,2023-06-01,2023-05-09 07:24:38,2023-06-05 14:25:37
